canonical_smiles,molecule_chembl_id,pchembl_value,standard_type,standard_units,standard_value,target_chembl_id,type,units,value
C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,CHEMBL577,8.92,IC50,nM,1.2,CHEMBL1808,I50,nM,1.2
C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,CHEMBL577,,IC50,nM,3.1,CHEMBL1808,IC50,nM,3.1
CC(NC(C(=O)O)C1CCCN1C(=O)NC(Cc1ccccc1)C(=O)O)C(=O)N1CCCC1C(=O)O,CHEMBL136312,8.27,IC50,nM,5.4,CHEMBL1808,I50,nM,5.4
C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,CHEMBL579,9.10,IC50,nM,0.8,CHEMBL1808,IC50,nM,0.8
C[C@H](N[C@H](C(=O)O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1)C(=O)N1CCC[C@H]1C(=O)O,CHEMBL2112769,8.11,IC50,nM,7.7,CHEMBL1808,I50,nM,7.7
C[C@H](N[C@H](C[C@H](Cc1ccccc1)NC(=O)c1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,CHEMBL2111940,8.32,IC50,nM,4.8,CHEMBL1808,I50,nM,4.8
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O,CHEMBL1592,8.08,IC50,nM,8.3,CHEMBL1808,IC50,nM,8.3
C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,CHEMBL1560,7.70,IC50,nM,20.0,CHEMBL1808,I50,nM,20.0
O=C(CCC(=O)N1CCCC1C(=O)O)CCc1ccccc1,CHEMBL139523,,IC50,nM,2600000.0,CHEMBL1808,I50,M,0.0026
C[C@H](N[C@@H](CNC(=O)c1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,CHEMBL2112767,7.77,IC50,nM,17.0,CHEMBL1808,I50,nM,17.0
C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1)C(=O)N1CCC[C@H]1C(=O)O,CHEMBL2370854,5.57,IC50,nM,2700.0,CHEMBL1808,I50,M,0.0000027
C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N1CCC[C@H]1C(=O)O,CHEMBL2370850,7.30,IC50,nM,50.0,CHEMBL1808,I50,M,5E-8
